City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Liepaja,LV,2022-08-07 02:53:27,56.5419,21.0367,62.58,72,40,1.14
115,Mount Isa,AU,2022-08-07 02:53:27,-20.7333,139.5,73.17,21,6,12.66
116,Barinas,VE,2022-08-07 02:53:28,8.6226,-70.2075,73.44,100,83,1.14
117,Moron,AR,2022-08-07 02:53:28,-34.6534,-58.6198,53.96,85,100,9.33
118,Newport News,US,2022-08-07 02:50:58,36.9788,-76.428,82.38,78,0,8.05
119,Namatanai,PG,2022-08-07 02:53:29,-3.6667,152.4333,82.45,74,100,6.55
120,Independence,US,2022-08-07 02:52:46,39.0911,-94.4155,90.39,64,0,10.36
121,Airai,TL,2022-08-07 02:53:29,-8.9266,125.4092,75.49,40,19,5.14
122,Broome,US,2022-08-07 02:53:29,42.2506,-75.833,77.36,86,42,1.01
123,Mandalgovi,MN,2022-08-07 02:53:30,45.7625,106.2708,65.23,42,98,10.2
124,Nikolskoye,RU,2022-08-07 02:53:30,59.7035,30.7861,56.8,94,100,5.48
125,Akyab,MM,2022-08-07 02:53:30,20.15,92.9,83.68,79,91,15.05
126,Kodiak,US,2022-08-07 02:53:31,57.79,-152.4072,57.06,63,67,10.83
127,Saskylakh,RU,2022-08-07 02:53:31,71.9167,114.0833,53.4,56,100,10.4
128,Waingapu,ID,2022-08-07 02:53:31,-9.6567,120.2641,83.21,58,11,8.5
129,Ndioum,SN,2022-08-07 02:53:32,16.5129,-14.6471,85.44,64,54,11.34
130,San Francisco,US,2022-08-07 02:52:11,37.7749,-122.4194,70.99,77,20,18.41
131,Calabozo,VE,2022-08-07 02:53:32,8.9242,-67.4293,73.9,88,1,0.07
132,Iqaluit,CA,2022-08-07 02:53:33,63.7506,-68.5145,53.33,66,75,10.36
133,Nizhniy Kuranakh,RU,2022-08-07 02:53:33,58.8353,125.4869,56.95,85,100,1.48
134,Sur,OM,2022-08-07 02:49:25,22.5667,59.5289,87.51,61,37,2.04
135,Wewak,PG,2022-08-07 02:53:34,-3.5534,143.6268,83.8,72,63,5.12
136,Kuyanovo,RU,2022-08-07 02:53:34,55.8014,54.5372,68.81,65,88,2.1
137,Okha,RU,2022-08-07 02:54:34,53.5739,142.9478,59.2,90,100,15.7
138,Kidal,ML,2022-08-07 02:54:35,18.4411,1.4078,86.97,39,94,9.24
139,Whitianga,NZ,2022-08-07 02:54:35,-36.8333,175.7,59.04,90,100,6.4
140,Vila Velha,BR,2022-08-07 02:54:35,-20.3297,-40.2925,68.95,89,20,3.44
141,Sohag,EG,2022-08-07 02:54:36,26.557,31.6948,82.69,35,12,11.99
142,Santiago Del Estero,AR,2022-08-07 02:54:36,-27.7951,-64.2615,54.12,53,0,7.05
143,Saint-Augustin,CA,2022-08-07 02:54:36,51.226,-58.6502,65.08,57,100,16.33
144,Rio Cuarto,AR,2022-08-07 02:51:00,-33.1307,-64.3499,47.97,61,40,6.91
145,Ciudad Bolivar,VE,2022-08-07 02:54:37,8.1222,-63.5497,81.19,70,45,8.68
146,Hualmay,PE,2022-08-07 02:54:37,-11.0964,-77.6139,61.47,85,88,11.25
147,College,US,2022-08-07 02:51:48,64.8569,-147.8028,60.75,80,75,10.36
148,Vardo,NO,2022-08-07 02:54:38,70.3705,31.1107,49.98,93,100,23.02
149,Palmer,US,2022-08-07 02:54:39,42.1584,-72.3287,80.15,75,20,8.05
150,Coffs Harbour,AU,2022-08-07 02:54:39,-30.3,153.1333,66.16,34,16,12.66
151,Husavik,IS,2022-08-07 02:54:40,66.0449,-17.3389,51.8,87,79,5.99
152,Xuddur,SO,2022-08-07 02:54:40,4.1213,43.8894,66.2,81,53,18.68
153,Grande Prairie,CA,2022-08-07 02:52:27,55.1667,-118.8027,71.78,49,40,23.02
154,Codrington,AU,2022-08-07 02:54:41,-38.2667,141.9667,52.68,57,97,6.35
155,Vao,NC,2022-08-07 02:54:41,-22.6667,167.4833,74.95,78,16,10.87
156,Yumen,CN,2022-08-07 02:54:41,40.2833,97.2,75.38,33,100,13.98
157,Makat,KZ,2022-08-07 02:54:42,47.6469,53.3463,79.3,23,0,12.59
158,Nemuro,JP,2022-08-07 02:54:42,43.3236,145.575,64.38,91,100,14.65
