City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
115,Codrington,AU,2022-08-11 04:29:32,-38.2667,141.9667,56.93,63,93,17.36,overcast clouds
116,Roma,US,2022-08-11 04:20:15,43.2128,-75.4557,65.66,92,0,1.01,clear sky
117,Samarinda,ID,2022-08-11 04:22:48,-0.5,117.15,84.18,70,95,2.3,overcast clouds
118,Pisco,PE,2022-08-11 04:29:32,-13.7,-76.2167,58.01,88,40,0.0,scattered clouds
119,Cabedelo,BR,2022-08-11 04:29:32,-6.9811,-34.8339,72.27,89,25,7.81,scattered clouds
120,Provideniya,RU,2022-08-11 04:22:15,64.3833,-173.3,51.91,100,20,8.95,fog
121,Nome,US,2022-08-11 04:20:10,64.5011,-165.4064,51.87,82,100,6.91,overcast clouds
122,Jamestown,US,2022-08-11 04:29:33,42.097,-79.2353,62.71,68,0,1.01,clear sky
123,Leningradskiy,RU,2022-08-11 04:29:33,69.3833,178.4167,48.54,77,61,7.11,broken clouds
124,Hami,CN,2022-08-11 04:20:14,42.8,93.45,97.75,14,98,4.0,overcast clouds
125,Georgetown,MY,2022-08-11 04:25:53,5.4112,100.3354,89.55,70,20,8.05,haze
126,Campbeltown,GB,2022-08-11 04:29:34,55.4258,-5.6076,48.25,79,5,2.53,clear sky
127,Quelimane,MZ,2022-08-11 04:29:34,-17.8786,36.8883,63.99,94,0,2.93,clear sky
128,Cidreira,BR,2022-08-11 04:29:35,-30.1811,-50.2056,58.37,80,80,2.8,broken clouds
129,Deputatskiy,RU,2022-08-11 04:29:35,69.3,139.9,66.24,47,100,4.16,overcast clouds
130,Moron,AR,2022-08-11 04:29:35,-34.6534,-58.6198,53.35,79,0,7.11,clear sky
131,Presidente Dutra,BR,2022-08-11 04:29:36,-5.29,-44.49,71.76,57,9,3.27,clear sky
132,Lagoa,PT,2022-08-11 04:22:49,39.05,-27.9833,70.38,74,7,5.57,clear sky
133,Ballina,AU,2022-08-11 04:29:36,-28.8667,153.5667,65.79,84,82,4.63,broken clouds
134,Skjervoy,NO,2022-08-11 04:29:36,70.0311,20.9714,53.6,80,79,38.92,light rain
135,Honiara,SB,2022-08-11 04:29:37,-9.4333,159.95,83.55,76,56,4.85,broken clouds
136,Sorland,NO,2022-08-11 04:29:37,67.667,12.6934,53.46,85,65,33.89,broken clouds
137,Mahebourg,MU,2022-08-11 04:29:37,-20.4081,57.7,71.26,64,75,12.66,broken clouds
138,Souillac,MU,2022-08-11 04:25:15,-20.5167,57.5167,70.18,64,75,12.66,light rain
139,Port Alfred,ZA,2022-08-11 04:30:08,-33.5906,26.891,57.72,84,70,2.55,broken clouds
140,Balabac,PH,2022-08-11 04:30:08,7.9868,117.0645,85.35,71,59,4.32,broken clouds
141,Beringovskiy,RU,2022-08-11 04:30:08,63.05,179.3167,62.74,68,50,7.18,scattered clouds
142,Xinzhi,CN,2022-08-11 04:30:09,36.4989,111.7047,84.0,71,100,1.01,moderate rain
143,Susanville,US,2022-08-11 04:30:09,40.4163,-120.653,73.24,21,0,6.91,clear sky
144,Puerto Ayora,EC,2022-08-11 04:25:21,-0.7393,-90.3518,70.56,92,96,5.99,overcast clouds
145,Mutis,CO,2022-08-11 04:30:10,6.2262,-77.4044,76.95,90,100,4.0,moderate rain
146,San Juan,AR,2022-08-11 04:30:10,-31.5375,-68.5364,50.27,37,20,3.38,few clouds
147,Ankazobe,MG,2022-08-11 04:30:10,-18.3167,47.1167,53.65,69,36,16.42,scattered clouds
148,San Jeronimo,PE,2022-08-11 04:30:11,-11.9472,-75.2829,47.64,82,49,0.29,scattered clouds
149,Roebourne,AU,2022-08-11 04:22:09,-20.7833,117.1333,75.0,18,0,20.85,clear sky
150,Tiruchchendur,IN,2022-08-11 04:30:11,8.4833,78.1167,88.09,54,92,10.54,overcast clouds
151,Kysyl-Syr,RU,2022-08-11 04:30:12,63.8986,122.7617,75.78,48,51,5.35,broken clouds
