City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
405,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
407,Kailua,US,85.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
409,Kudahuvadhoo,MV,81.68,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
412,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
414,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
417,Cayenne,GF,79.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
418,Sibolga,ID,86.65,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
424,Nabire,ID,77.29,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
426,Vengerovo,RU,76.05,scattered clouds,55.6848,76.7471,Gostinitsa
427,Kirovskiy,RU,80.22,overcast clouds,45.0917,133.5136,"Uyut, Gostinitsa"
429,Kingman,US,82.18,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
436,Layou,VC,77.88,broken clouds,13.2,-61.2667,Compton's Bed-&-Breakfast & Anchorage
437,Chifeng,CN,83.97,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
442,Kirakira,SB,81.39,scattered clouds,-10.4544,161.9205,SanBiz Lodge
445,Tabas,IR,89.67,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
446,Kloulklubed,PW,81.1,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
450,Chany,RU,77.59,broken clouds,55.3121,76.7647,Sakura
451,Aden,YE,83.12,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
452,Coahuayana,MX,78.42,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
453,Norsup,VU,76.24,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
456,Kilindoni,TZ,76.8,scattered clouds,-7.9139,39.6668,Bustani B&B
457,Ransang,PH,86.52,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
460,Awbari,LY,80.19,clear sky,26.5921,12.7805,فندق أوباري
465,Sterlitamak,RU,75.51,few clouds,53.6246,55.9502,Gostinyy Dom Komfort
466,Daru,PG,79.97,broken clouds,-9.0763,143.2092,Daru Lodge
467,Key West,US,87.8,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
468,Tubigan,PH,85.89,broken clouds,8.5322,124.3122,MOONBAY White Beach Resort Co.
474,Acajutla,SV,77.22,light rain,13.5928,-89.8275,Laureles
475,Port Hueneme,US,83.79,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
477,Kombissiri,BF,75.18,scattered clouds,12.0656,-1.3375,Mitibkieta Annexe
478,Ocean City,US,77.18,light rain,39.2776,-74.5746,Biscayne Suites
479,Oriximina,BR,75.13,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
481,Sungaipenuh,ID,81.18,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
482,Westport,US,76.55,broken clouds,41.1415,-73.3579,The Westport Inn
485,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
487,Ponnani,IN,79.92,overcast clouds,10.767,75.9252,Rouba Residency
490,Keti Bandar,PK,82.31,overcast clouds,24.1447,67.4497,Haji laloo memon house
491,Sokoto,NG,78.22,overcast clouds,13.0609,5.239,Grand Ibro Hotel
492,Biak,ID,80.2,broken clouds,-0.9131,122.8766,Penginapan Kim
495,Binzhou,CN,81.32,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
497,Contai,IN,78.71,light rain,21.7786,87.7536,PATHFINDER
498,Ishigaki,JP,89.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
509,Lahaina,US,84.2,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
514,San Blas,MX,79.52,broken clouds,21.5167,-105.2667,Hotel Posada del Rey
515,Dali,CN,79.43,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
517,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
522,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
523,Jaffna,LK,84.13,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
525,Didao,CN,78.91,scattered clouds,45.3667,130.8,Hostel Bathhouse
527,Sal Rei,CV,76.95,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
530,Mangrol,IN,80.53,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
532,Zhangjiakou,CN,85.8,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
535,Luwuk,ID,82.13,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
546,Mengyin,CN,87.73,moderate rain,35.7069,117.9264,Jinmengyuan Hotel
550,Brigantine,US,77.2,moderate rain,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
553,Nishihara,JP,87.46,mist,26.1842,127.7558,Minshuku Agaihama
555,Butterworth,MY,89.65,haze,5.3991,100.3638,Cititel Penang
